id	key	day	weekday	ruf	ruf_id	lesung_1	lesung_1id	antwort	antwortid	lesung_2	lesung_2id	evangelium	evangeliumid	variant	overwrite	ende	gotteslob	unterwegs
1	Neujahr, HOCHFEST|break|DER GOTTESMUTTER MARIA					Num 6,22-27	115	Ps 67,2-3.5-6.7-8	864	Gal 4,4-7	116	Lk 2,16-21	117			.	238; 243; 257; 258; 364; 406; 407; 430; 530	71; 72; 73; 101
2	Basilius der Große (379) u. Gregor von Nazianz (um 390), Bi., Kirchenlehrer					Eph 4,1-7.11-13	2393	Ps 23	1246			Mt 23,8-12	2394			.	NULL	NULL
3	Heiligster Name Jesu															.	NULL	NULL
5	ERSCHEINUNG DES HERRN				11087	Jes 60,1-6	121	Ps 72,1-2.7-8.10-11.12-13	882	Eph 3,2-3a.5-6	122	Mt 2,1-12	123			.	240; 241; 259; 261; 262; 357	271
6	Valentin, Bischof von Rätien (um 475); Raimund von Peñafort, Ordensgründer (1275)					Jes 52,7-10; 2 Kor 5,14-20	109; 2405	Ps 96,1-3.7-8.10; Ps 103,1-4.8-9.13-14.17-18a	934; 1476			Mt 28,16-20; Lk 12,35-40	690; 1792			.	NULL	NULL
7	Severin, Mönch in Norikum (482)					Jak 2,14-17	2401	Ps 107,1-2a.3-9	2664			Mt 25,31-46 (Mt 25,31-40)	1035; 2290			.	NULL	NULL
8	Hilarius, Bischof von Poitiers, Kirchenlehrer (um 367)					1 Joh 2,18-25	2218	Ps 110,1-5	920			Mt 5,13-19	2219			.	NULL	NULL
9	Antonius, Mönchsvater in Ägypten (356)					Eph 6,10-13.18	2220	Ps 16,1-2.5.7-9.11	1474			Mt 19,16-26	2221			.	NULL	NULL
10	Fabian, Papst, Märtyrer (250); Sebastian, Märtyrer (288)					1 Petr 5,1-4; 1 Petr 3,14-17	2222; 2224	Ps 40,2.4ab.7-10; Ps 34,2-9	912; 1313			Joh 21,1.15-17; Mt 10,28-33	2223; 2225			.	NULL	NULL
11	Meinrad, Mönch auf der Reichenau, Einsiedler, Märtyrer (861);|break|Agnes, Jungfrau, Märtyrin in Rom (304)					1 Petr 4,12-19; 1 Kor 1,26-31	2226; 2107	Ps 71,1-2.3b-4.20-23; Ps 23,1-6	2650; 1246			Mt 16,24-27; Mt 13,44-46	276; 2227			.	NULL	NULL
