id	key	zeit	invitantiphonid	hymnusid	antiphon1id	psalm1id	psalm1	antiphon2id	psalm2id	psalm2	antiphon3id	psalm3id	psalm3	lesungid	lesung	responsoriumid	antiphoncanticumid	canticumid	canticum	bittenid	orationid	kommentar1	kommentar2	antiphoncanticumidCopy	kommentar3
1	?	Lesehore														Versikel	Erste Lesung	Erstes Responsorium	Zweite Lesung	Zweites Responsorium	Oration				
2	1. Woche Adventszeit|So	Laudes	7580	3449	4505	2681	Ps 63,2-9	4506	2682	Vgl. Dan 3,57-88	4507	2871	Ps 149	3004	Röm 13,11b-12	3373	4508	2684	Lk 1,68-79	3268	3391	.			
3	1. Woche Adventszeit|Mo	Laudes	7580	3449	4509	2687	Ps 5,2-10.12-13	4510	2829	1 Chr 29,10-13	4511	2688	Ps 29	3006	Jes 2,3	3374	4668	2684	Lk 1,68-79	3270	3393	.			
4	1. Woche Adventszeit|Di	Laudes	7580	3449	4515	2692	Ps 24	4516	2693	Tob 13,2-5b.7c-9	4517	2694	Ps 33	3008	Gen 49,10	3374	4670	2684	Lk 1,68-79	3273	3394	.			
5	1. Woche Adventszeit|Mi	Laudes	7580	3449	4521	2699	Ps 36	4522	2700	Jdt 16,1-2a.13-15	4523	2701	Ps 47	3010	Jes 7,14-15	3374	4672	2684	Lk 1,68-79	3275	3395	.			
6	1. Woche Adventszeit|Do	Laudes	7580	3449	4527	2706	Ps 57	4528	2707	Jer 31,10-13.14b	4529	2708	Ps 48	3012	Jes 45,8	3374	4674	2684	Lk 1,68-79	3277	4675	.			
7	1. Woche Adventszeit|Fr	Laudes	7580	3449	4548	2711	Ps 51	4549	2712	Vgl. Jes 45,15-25	4550	2790	Ps 100	3014	Jer 30,18a.21-22	3374	4676	2684	Lk 1,68-79	3279	3396	.			
8	1. Woche Adventszeit|Sa	Laudes	7580	3449	4554	2718	Ps 119,145-152	4555	2720	Ex 15,1-4a.8-13.17-18	4556	2719	Ps 117	3016	Jes 11,1-2	3374	4681	2684	Lk 1,68-79	3281	3397	.			
9	2. Woche Adventszeit|So	Laudes	7580	3449	4560	2831	Ps 118	4561	2725	Dan 3,52-57	4562	3077	Ps 150	3004	Röm 13,11b-12	3373	4683	2684	Lk 1,68-79	3283	3398	.			
10	2. Woche Adventszeit|Mo	Laudes	7580	3449	4566	2731	Ps 42	4567	2732	Sir 36,1-7.13.16-19	4568	2733	Ps 19,2-7	3006	Jes 2,3	3374	4685	2684	Lk 1,68-79	3285	3399	.			
11	2. Woche Adventszeit|Di	Laudes	7580	3449	4572	2737	Ps 43	4573	2835	Jes 38,10-14.17-18	4574	2739	Ps 65	3008	Gen 49,10	3374	4687	2684	Lk 1,68-79	3287	3400	.			
12	2. Woche Adventszeit|Mi	Laudes	7580	3449	4578	2743	Ps 77	4579	2744	1 Sam 2,1-10	4580	2745	Ps 97	3010	Jes 7,14-15	3374	4689	2684	Lk 1,68-79	3289	3401	.			
13	2. Woche Adventszeit|Do	Laudes	7580	3449	4584	2749	Ps 80	4585	2750	Jes 12,1-6	4586	2751	Ps 81	3012	Jes 45,8	3374	4691	2684	Lk 1,68-79	3291	3402	.			
14	2. Woche Adventszeit|Fr	Laudes	7580	3449	4590	2711	Ps 51	4591	2755	Hab 3,2-4.13a.15-19	4592	2756	Ps 147,12-20 	3014	Jer 30,18a.21-22	3374	4693	2684	Lk 1,68-79	3293	3403	.			
15	2. Woche Adventszeit|Sa	Laudes	7580	3449	4596	2760	Ps 92	4597	2761	Dtn 32,1-7.9-12	4598	2762	Ps 8	3016	Jes 11,1-2	3374	4695	2684	Lk 1,68-79	3295	3404	.			
16	3. Woche Adventszeit|So	Laudes	7580	3449	4602	2765	Ps 93	4603	2682	Vgl. Dan 3,57-88	4604	2767	Ps 148	3004	Röm 13,11b-12	3373	4697	2684	Lk 1,68-79	3297	3405	.			
17	3. Woche Adventszeit|Mo	Laudes	7580	3449	4608	2769	Ps 84	4609	2770	Jes 2,2-5	4610	2771	Ps 96	3006	Jes 2,3	3374	4699	2684	Lk 1,68-79	3299	3406	.			
18	3. Woche Adventszeit|Di	Laudes	7580	3449	4614	2774	Ps 85	4615	2775	Jes 26,1-4.7-9.12	4616	3051	Ps 67	3008	Gen 49,10	3374	4701	2684	Lk 1,68-79	3301	3407	.			
19	3. Woche Adventszeit|Mi	Laudes	7580	3449	4620	2846	Ps 86	4621	2780	Jes 33,13-15a.16	4622	2781	Ps 98	3010	Jes 7,14-15	3374	4703	2684	Lk 1,68-79	3303	3408	.			
20	3. Woche Adventszeit|Do	Laudes	7580	3449	4626	2784	Ps 87	4627	2785	Jes 40,10-17	4628	2786	Ps 99	3012	Jes 45,8	3374	4705	2684	Lk 1,68-79	3305	3409	.			
21	3. Woche Adventszeit|Fr	Laudes	7580	3449	4631	2711	Ps 51	4632	2789	Jer 14,17b-21	4633	2713	Ps 100	3014	Jer 30,18a.21-22	3374	4707	2684	Lk 1,68-79	3307	3410	.			
22	3. Woche Adventszeit|Sa	Laudes	7580	3449	4637	2718	Ps 119,145-152	4638	2793	Weish 9,1-6.9-11	4639	2719	Ps 117					2684	Lk 1,68-79			.			
23	4. Woche Adventszeit|So	Laudes	7580	3449	4643	2796	Ps 118	4644	2725	Dan 3,52-57	4645	3077	Ps 150	3004	Röm 13,11b-12	3373		2684	Lk 1,68-79	3310	3411	.			
24	4. Woche Adventszeit|So|Erg	Laudes																			3411				
25	4. Woche Adventszeit|Mo	Laudes	7580	3449	4649	2798	Ps 90	4650	2799	Jes 42,10-16d	4651	2800	Ps 135,1-12					2684	Lk 1,68-79			.			
26	4. Woche Adventszeit|Di	Laudes	7580	3449	4652	2803	Ps 101	4653	2804	Dan 3,26-27.29.34-41	4654	2805	Ps 144,1-10b					2684	Lk 1,68-79			.			
27	4. Woche Adventszeit|Mi	Laudes	7580	3449	4655	2809	Ps 108	4656	2810	Jes 61,10-62,5	4657	2811	Ps 146					2684	Lk 1,68-79			.			
28	4. Woche Adventszeit|Do	Laudes	7580	3449	4658	2814	Ps 143,1-11	4659	2815	Jes 66,10-14a	4660	3002	Ps 147,1-11					2684	Lk 1,68-79			.			
29	4. Woche Adventszeit|Fr	Laudes	7580	3449	4661	2711	Ps 51	4662	2820	Tob 13,10c-13.15ef.17ab	4663	2821	Ps 147,12-20					2684	Lk 1,68-79			.			
30	4. Woche Adventszeit|Sa	Laudes	7580	3449	4664	3003	Ps 92	4665	2825	Ez 36,24-38	4666	2762	Ps 8					2684	Lk 1,68-79			.			
31																						.			
32	1. Woche Adventszeit|So	Vesper		3452	4711	2685	Ps 110,1-5.7	4712	2686	Ps 114	4713	2730	Offb 19,1-7	3005	Phil 4,4-5	3372	4667	2828	Lk 1,46-55	3269	3391	.			
33	1. Woche Adventszeit|Mo	Vesper		3452	4512	2689	Ps 11	4513	2690	Ps 15	4514	3001	Eph 1,3-10	3007	Phil 3,20b-21	3375	4669	2828	Lk 1,46-55	3272	3393	.			
34	1. Woche Adventszeit|Di	Vesper		3452	4518	2696	Ps 20	4519	2697	Ps 21,2-8.14	4520	2698	Offb 4,11; 5,9.10.12	3009	Vgl. 1 Kor 1,7b-9	3375	4671	2828	Lk 1,46-55	3274	3394	.			
35	1. Woche Adventszeit|Mi	Vesper		3452	4524	2703	Ps 27	4525	2704	Ps 27	4526	2702	Kol 1,12-20	3011	1 Kor 4,5	3375	4673	2828	Lk 1,46-55	3276	3395	.			
36	1. Woche Adventszeit|Do	Vesper		3452	4530	2709	Ps 30	4546	2710	Ps 32	4547	3070	Offb 11,17-18; 12,10b-12a	3013	Jak 5,7-8.9b	3375	4709	2828	Lk 1,46-55	3278	4675	.			
37	1. Woche Adventszeit|Fr	Vesper		3452	4551	2715	Ps 41	4552	2716	Ps 46	4553	2717	Offb 15,3-4	3015	2 Petr 3,8b-9	3375	4710	2828	Lk 1,46-55	3280	3396	.			
38	1. Woche Adventszeit|Sa	Vesper		3452	4557	2826	Ps 119,105-112	4558	2722	Ps 16	4559	2723	Phil 2,6-11	3017	1 Thess 5,23-24	3372	4682	2828	Lk 1,46-55	3282	3398	.			
