Tabellenblatt	season	week	day	spalte	Text1	Text2	Text3
Lesungen1	k	1	1	Les_Buch	Antiphonen	2,295	Ein wunderbares Geheimnis tritt heute ans Licht: Gott wurde Mensch, er blieb, was er war, und er nahm an, was er nicht war, ohne Vermischung und ohne Teilung. So wurde Gottes Schöpfung neu. <br/>
Lesungen1	k	1	1	Resp1			
Lesungen1	k	1	1	Patr_Resp1			
Lesungen2	a	1	0	Patr_Resp1			
Lesungen2	k	12	25	Les_Buch	Antiphonen	2,266	Ehre sei Gott in der Höhe und Friede auf Erden den Menschen seiner Gnade. Halleluja. <br/>
Lesungen2	k	12	25	Resp1			
Lesungen2	k	12	25	Patr_Resp1			
Lesungen2	o	1	0	Les_Buch	Ex	14,15 - 15,1	In jenen Tagen, <br/>   als die Israeliten sahen, dass die Ägypter ihnen nachrückten, <br/>   erschraken sie sehr <br/>und schrien zum Herrn. <br/>Da sprach der H<small>ERR</small> zu Mose: Was schreist du zu mir? <br/>Sag den Israeliten, sie sollen aufbrechen. <br/>Und du heb deinen Stab hoch, <br/>streck deine Hand über das Meer und spalte es, <br/>   damit die Israeliten <br/>   auf trockenem Boden in das Meer hineinziehen können! <br/>Ich aber will das Herz der Ägypter verhärten, <br/>   damit sie hinter ihnen hineinziehen. <br/>So will ich am Pharao und an seiner ganzen Streitmacht, <br/>   an seinen Streitwagen und Reitern meine Herrlichkeit erweisen. <br/>Die Ägypter sollen erkennen, dass ich der H<small>ERR</small> bin, <br/>wenn ich am Pharao, an seinen Streitwagen und Reitern <br/>   meine Herrlichkeit erweise. <br/><br/>Der Engel Gottes, der den Zug der Israeliten anführte, brach auf <br/>   und ging nach hinten <br/>und die Wolkensäule brach auf <br/>   und stellte sich hinter sie. <br/>Sie kam zwischen das Lager der Ägypter <br/>   und das Lager der Israeliten. <br/>Die Wolke war da und Finsternis <br/>und Blitze erhellten die Nacht. <br/>So kamen sie die ganze Nacht einander nicht näher. <br/>Mose streckte seine Hand über das Meer aus <br/>und der H<small>ERR</small> trieb die ganze Nacht <br/>   das Meer durch einen starken Ostwind fort. <br/>Er ließ das Meer austrocknen <br/>und das Wasser spaltete sich. <br/>Die Israeliten zogen auf trockenem Boden ins Meer hinein, <br/>während rechts und links von ihnen <br/>   das Wasser wie eine Mauer stand. <br/>Die Ägypter setzten ihnen nach; <br/>alle Pferde des Pharao, seine Streitwagen und Reiter <br/>   zogen hinter ihnen ins Meer hinein. <br/><br/>Um die Zeit der Morgenwache <br/>   blickte der H<small>ERR</small> aus der Feuer- und Wolkensäule <br/>   auf das Lager der Ägypter <br/>   und brachte es in Verwirrung. <br/>Er hemmte die Räder an ihren Wagen <br/>und ließ sie nur schwer vorankommen. <br/>Da sagte der Ägypter: <br/>   Ich muss vor Israel fliehen; <br/>denn der H<small>ERR</small> kämpft auf ihrer Seite gegen Ägypten. <br/><br/>Darauf sprach der H<small>ERR</small> zu Mose: <br/>   Streck deine Hand über das Meer, <br/>damit das Wasser zurückflutet <br/>   und den Ägypter, seine Wagen und Reiter zudeckt! <br/>Mose streckte seine Hand über das Meer <br/>und gegen Morgen flutete das Meer an seinen alten Platz zurück, <br/>   während die Ägypter auf der Flucht ihm entgegenliefen. <br/>So trieb der H<small>ERR</small> die Ägypter mitten ins Meer. <br/>Das Wasser kehrte zurück <br/>   und bedeckte Wagen und Reiter, <br/>die ganze Streitmacht des Pharao, <br/>   die den Israeliten ins Meer nachgezogen war. <br/>Nicht ein Einziger von ihnen blieb übrig. <br/>Die Israeliten aber waren auf trockenem Boden <br/>   mitten durch das Meer gezogen, <br/>während rechts und links von ihnen <br/>   das Wasser wie eine Mauer stand. <br/><br/>So rettete der H<small>ERR</small> an jenem Tag Israel aus der Hand der Ägypter. <br/>Israel sah die Ägypter tot am Strand liegen. <br/>Als Israel sah, <br/>   dass der H<small>ERR</small> <br/>   mit mächtiger Hand an den Ägyptern gehandelt hatte, <br/>   fürchtete das Volk den H<small>ERRN</small>. <br/>Sie glaubten an den H<small>ERRN</small> <br/>   und an Mose, seinen Knecht. <br/><br/>Damals sang Mose mit den Israeliten dem H<small>ERRN</small> dieses Lied; <br/>sie sagten: <br/>   Ich singe dem H<small>ERRN</small> ein Lied, <br/>   denn er ist hoch und erhaben. <br/>Ross und Reiter warf er ins Meer. <br/>
Lesungen2	o	1	0	Resp1			
Lesungen2	o	1	0	Patr_Autor	Jes 54,5-14	In ewiger Huld habe ich mich deiner erbarmt, spricht dein Erlöser, der Herr	Jerusalem, dein Schöpfer ist dein Gemahl, <br/>&bdquo;H<small>ERR</small> der Heerscharen" ist sein Name. <br/>Der Heilige Israels ist dein Erlöser, <br/>&bdquo;Gott der ganzen Erde" wird er genannt. <br/><br/>Ja, der H<small>ERR</small> hat dich gerufen <br/>   als verlassene, bekümmerte Frau. <br/>Kann man denn die Frau seiner Jugend verstoßen?, <br/>   spricht dein Gott. <br/>Nur für eine kleine Weile habe ich dich verlassen, <br/>   doch mit großem Erbarmen werde ich dich sammeln. <br/>Einen Augenblick nur verbarg ich vor dir mein Gesicht <br/>   in aufwallendem Zorn; <br/>aber in ewiger Huld habe ich mich deiner erbarmt, <br/>   spricht dein Erlöser, der H<small>ERR</small>. <br/><br/>Wie bei der Flut Noachs soll es für mich sein: <br/>So wie ich damals schwor, <br/>   dass die Flut Noachs die Erde nie mehr überschwemmen wird, <br/>   so schwöre ich jetzt, dir nie mehr zu zürnen <br/>   und dich nie mehr zu schelten. <br/>Mögen auch die Berge weichen <br/>   und die Hügel wanken - <br/>   meine Huld wird nicht von dir weichen <br/>   und der Bund meines Friedens nicht wanken, <br/>   spricht der H<small>ERR</small>, der Erbarmen hat mit dir. <br/><br/>Ärmste, vom Sturm Gepeitschte, die ohne Trost ist: <br/>   Siehe, <br/>ich selbst lege dir ein Fundament aus Malachít <br/>   und Grundmauern aus Saphír. <br/>Aus Rubínen mache ich deine Zinnen, <br/>aus Ber&yacute;ll deine Tore <br/>und alle deine Mauern aus kostbaren Steinen. <br/>Alle deine Kinder sind Schüler des H<small>ERRN</small> <br/>und groß ist der Friede deiner Kinder. <br/>Du wirst auf Gerechtigkeit gegründet sein. <br/>Du bist fern von Bedrängnis, <br/>   denn du brauchst dich nicht mehr zu fürchten <br/>und bist fern von Schrecken; <br/>   er kommt an dich nicht heran. <br/>
Lesungen2	o	1	0	Patr_Resp1			
Lesungen2	q	0	3	Les_Buch	Jes	58,1-12	Rufe aus voller Kehle, halte dich nicht zurück! Lass deine Stimme ertönen wie eine Posaune! Halte meinem Volk seine Vergehen vor und dem Haus Jakob seine Sünden! <br/>Sie suchen mich Tag für Tag; denn sie wollen meine Wege erkennen. Wie ein Volk, das Gerechtigkeit übt und das vom Recht seines Gottes nicht ablässt, so fordern sie von mir ein gerechtes Urteil und möchten, dass Gott ihnen nah ist. <br/>Warum fasten wir und du siehst es nicht? Warum tun wir Buße und du merkst es nicht? Seht, an euren Fasttagen macht ihr Geschäfte und treibt alle eure Arbeiter zur Arbeit an. <br/>Obwohl ihr fastet, gibt es Streit und Zank und ihr schlagt zu mit roher Gewalt. So wie ihr jetzt fastet, verschafft ihr eurer Stimme droben kein Gehör. <br/>Ist das ein Fasten, wie ich es liebe, ein Tag, an dem man sich der Buße unterzieht: wenn man den Kopf hängen lässt, so wie eine Binse sich neigt, wenn man sich mit Sack und Asche bedeckt? Nennst du das ein Fasten und einen Tag, der dem Herrn gefällt? <br/>Nein, das ist ein Fasten, wie ich es liebe: die Fesseln des Unrechts zu lösen, die Stricke des Jochs zu entfernen, die Versklavten freizulassen, jedes Joch zu zerbrechen, <br/>an die Hungrigen dein Brot auszuteilen, die obdachlosen Armen ins Haus aufzunehmen, wenn du einen Nackten siehst, ihn zu bekleiden und dich deinen Verwandten nicht zu entziehen. <br/>Dann wird dein Licht hervorbrechen wie die Morgenröte und deine Wunden werden schnell vernarben. Deine Gerechtigkeit geht dir voran, die Herrlichkeit des Herrn folgt dir nach. <br/>Wenn du dann rufst, wird der Herr dir Antwort geben, und wenn du um Hilfe schreist, wird er sagen: Hier bin ich. Wenn du der Unterdrückung bei dir ein Ende machst, auf keinen mit dem Finger zeigst und niemand verleumdest, <br/>dem Hungrigen dein Brot reichst und den Darbenden satt machst, dann geht im Dunkel dein Licht auf und deine Finsternis wird hell wie der Mittag. <br/>Der Herr wird dich immer führen, auch im dürren Land macht er dich satt und stärkt deine Glieder. Du gleichst einem bewässerten Garten, einer Quelle, deren Wasser niemals versiegt. <br/>Deine Leute bauen die uralten Trümmerstätten wieder auf, die Grundmauern aus der Zeit vergangener Generationen stellst du wieder her. Man nennt dich den Maurer, der die Risse ausbessert, den, der die Ruinen wieder bewohnbar macht. <br/>
Lesungen2	q	0	4	Les_Buch	Ex	1,1-22	Das sind die Namen der Söhne Israels, die nach Ägypten gekommen waren - mit Jakob waren sie gekommen, jeder mit seiner Familie: <br/>Ruben, Simeon, Levi, Juda, <br/>Issachar, Sebulon, Benjamin, <br/>Dan, Naftali, Gad und Ascher. <br/>Zusammen waren es siebzig Personen; sie alle stammten von Jakob ab. Josef aber war bereits in Ägypten. <br/>Josef, alle seine Brüder und seine Zeitgenossen waren gestorben. <br/>Aber die Söhne Israels waren fruchtbar, sodass das Land von ihnen wimmelte. Sie vermehrten sich und wurden überaus stark; sie bevölkerten das Land. <br/>In Ägypten kam ein neuer König an die Macht, der Josef nicht gekannt hatte. <br/>Er sagte zu seinem Volk: Seht nur, das Volk der Israeliten ist größer und stärker als wir. <br/>Gebt Acht! Wir müssen überlegen, was wir gegen sie tun können, damit sie sich nicht weiter vermehren. Wenn ein Krieg ausbricht, können sie sich unseren Feinden anschließen, gegen uns kämpfen und sich des Landes bemächtigen. <br/>Da setzte man Fronvögte über sie ein, um sie durch schwere Arbeit unter Druck zu setzen. Sie mussten für den Pharao die Städte Pitom und Ramses als Vorratslager bauen. <br/>Je mehr man sie aber unter Druck hielt, umso stärker vermehrten sie sich und breiteten sie sich aus, sodass die Ägypter vor ihnen das Grauen packte. <br/>Daher gingen sie hart gegen die Israeliten vor und machten sie zu Sklaven. <br/>Sie machten ihnen das Leben schwer durch harte Arbeit mit Lehm und Ziegeln und durch alle möglichen Arbeiten auf den Feldern. So wurden die Israeliten zu harter Sklavenarbeit gezwungen. <br/>Zu den hebräischen Hebammen - die eine hieß Schifra, die andere Pua - sagte der König von Ägypten: <br/>Wenn ihr den Hebräerinnen Geburtshilfe leistet, dann achtet auf das Geschlecht! Ist es ein Knabe, so lasst ihn sterben! Ist es ein Mädchen, dann kann es am Leben bleiben. <br/>Die Hebammen aber fürchteten Gott und taten nicht, was ihnen der König von Ägypten gesagt hatte, sondern ließen die Kinder am Leben. <br/>Da rief der König von Ägypten die Hebammen zu sich und sagte zu ihnen: Warum tut ihr das und lasst die Kinder am Leben? <br/>Die Hebammen antworteten dem Pharao: Bei den hebräischen Frauen ist es nicht wie bei den Ägypterinnen, sondern wie bei den Tieren: Wenn die Hebamme zu ihnen kommt, haben sie schon geboren. <br/>Gott verhalf den Hebammen zu Glück; das Volk aber vermehrte sich weiter und wurde sehr stark. <br/>Weil die Hebammen Gott fürchteten, schenkte er ihnen Kindersegen. <br/>Daher gab der Pharao seinem ganzen Volk den Befehl: Alle Knaben, die den Hebräern geboren werden, werft in den Nil! Die Mädchen dürft ihr alle am Leben lassen. <br/>
